Date|Comp|Positive|Negative|CompWithRepRet
2017-01-01|0.15377298387096747|0.1345262096774193|0.03906149193548386|0.2456081653225804
2017-01-02|0.12957924914675759|0.1179535836177474|0.04161023890784981|0.19507419795221848
2017-01-03|0.16300252454417974|0.13184081346423557|0.030745441795231428|0.24147138849929892
2017-01-04|0.11286516079632467|0.11091960183767235|0.04348928024502298|0.2105947166921895
2017-01-05|0.15487817811012905|0.13708157715839595|0.04128823929299799|0.3068855200543844
2017-01-06|0.16096689895470362|0.12939721254355402|0.032310801393728224|0.6489784668989568
2017-01-07|0.12862617908407384|0.13295898838004108|0.05219207108680792|0.5344356117566655
2017-01-08|0.13093423999999976|0.13122479999999972|0.04807360000000006|0.19586711999999978
2017-01-09|0.13574846019755954|0.11985938407902373|0.038762928529924495|0.4178190005810574
2017-01-10|0.17121515353805067|0.12975033377837134|0.02768558077436583|-0.0732905874499334
2017-01-11|0.17714901531728672|0.1284281546316556|0.022080962800875275|1.1382528081692183
2017-01-12|0.16801700208188736|0.12733657182512137|0.026440666204024982|0.3809201249132547
2017-01-13|0.1341344494047617|0.1145468750000001|0.03960416666666669|10.037382886904755
2017-01-14|0.13243975903614444|0.12144664371772794|0.033442340791738405|-0.4089600688468162
2017-01-15|0.13621262886597937|0.12106958762886587|0.03610996563573884|0.18238376288659774
2017-01-16|0.13703550295857989|0.11310650887573961|0.03384319526627219|8.295341124260355
2017-01-17|0.1557537313432836|0.11669402985074626|0.02584141791044775|0.2917613805970146
2017-01-18|0.003929799426934093|0.05127507163323781|0.0756303724928367|0.0017492836676217842
2017-01-19|0.05915204081632662|0.09021173469387753|0.060744897959183676|0.05331147959183675
2017-01-20|0.07508126272912427|0.1072627291242363|0.06395315682281058|0.661230753564155
2017-01-21|0.07194159999999998|0.10309066666666668|0.059623999999999996|0.09715013333333333
2017-01-22|0.12836452991452993|0.1181858974358975|0.038386752136752134|-4.235817948717957
2017-01-23|0.06736100917431198|0.08192201834862392|0.048752293577981644|0.09378715596330282
2017-01-24|0.14172343387470965|0.11870301624129928|0.03206496519721578|0.19813828306264467
2017-01-25|0.17888181818181806|0.13987229437229448|0.04131818181818182|0.35736277056277077
2017-01-26|0.1528091796874999|0.12764453125000014|0.037296874999999986|0.21555839843749994
2017-01-27|0.18794060606060614|0.15689494949494967|0.025161616161616177|0.3553016161616161
2017-01-28|0.11331503906249994|0.11485546875000001|0.045636718749999965|26.704776367187495
2017-01-29|0.13378993055555538|0.12448090277777776|0.04306770833333332|1.0826843750000015
2017-01-30|0.08652926829268284|0.08251829268292683|0.03042073170731708|0.11144593495934951
2017-01-31|0.1677009302325584|0.12743546511627926|0.027132558139534874|0.2802898255813954
2017-02-01|0.17915742164399767|0.1321957421643996|0.025076286221170925|0.5375235955056197
2017-02-02|0.20141701913393845|0.1387426988922461|0.023923967774420962|24.769234692849814
2017-02-03|0.1509420154185023|0.11763711453744505|0.03382268722466963|0.44067516519823763
2017-02-04|0.13632168141592918|0.11477654867256648|0.035297197640118017|0.3865314896755159
2017-02-05|0.14521983935742974|0.12822329317269068|0.037600803212851405|0.21544859437751018
2017-02-06|0.1507140935987091|0.12333082302313061|0.032459386767079074|0.20657461000537947
2017-02-07|0.13601949720670395|0.12296312849162004|0.04023072625698324|1.8747030167597754
2017-02-08|0.11858458598726096|0.10699299363057325|0.03782738853503187|5.140997579617834
2017-02-09|0.1452439174107145|0.11956808035714274|0.03335546875000001|0.34295831473214256
2017-02-10|0.11143503893214667|0.10732814238042253|0.044533926585094565|0.15869688542825333
2017-02-11|0.13934644696189427|0.20183728115344962|0.1199557157569515|0.27374170957775495
2017-02-12|0.11484472259810515|0.14598376184032458|0.08062381596752372|0.20162584573748257
2017-02-13|0.12671049311926574|0.12213130733944945|0.05584461009174306|0.2744267201834866
2017-02-14|0.1717894943820224|0.1382685393258427|0.04146292134831464|0.3280253370786521
2017-02-15|0.15040336538461543|0.12345673076923082|0.0445048076923077|0.356275
2017-02-16|0.1728959183673471|0.1329510204081632|0.03563673469387755|0.5750734693877545
2017-02-17|0.17628157894736834|0.15319999999999995|0.03714736842105264|0.6028473684210528
