Date|Comp|Positive|Negative
2017-01-01|0.07684018547140639|0.12723080886141183|0.08362596599690876
2017-01-02|0.025122916666666665|0.08444925213675218|0.07327243589743594
2017-01-03|0.032872510822510796|0.05670725108225112|0.03816341991341992
2017-01-04|0.01608534531162269|0.08307186973610324|0.07141718135878725
2017-01-05|0.06416473105134453|0.11462958435207814|0.07367176039119802
2017-01-06|0.031051985339034718|0.09253756872327434|0.07763408674404394
2017-01-07|-0.009245187601957585|0.10001468189233252|0.10937085372485031
2017-01-08|0.01752105263157894|0.1501578947368421|0.1241578947368421
2017-01-09|-0.018274999999999993|0.0983|0.1125
2017-01-10|-0.08028666666666666|0.06266666666666668|0.1134
2017-01-11|-0.02698000000000001|0.056900000000000006|0.0746
2017-01-12|0.008644444444444436|0.08994444444444444|0.10544444444444444
2017-01-13|0.07597777777777776|0.09827777777777777|0.05500000000000001
2017-01-14|0.07773684210526315|0.11252631578947365|0.07242105263157894
2017-01-15|-0.03482500000000001|0.09855|0.12175000000000002
2017-01-16|0.14548947368421056|0.15789473684210525|0.06147368421052631
2017-01-17|0.06509499999999999|0.1836|0.10595000000000002
2017-01-18|0.017788888888888875|0.11172222222222222|0.12566666666666668
2017-01-19|0.11864736842105261|0.14910526315789477|0.057684210526315796
2017-01-20|0.1474526315789474|0.13415789473684211|0.03242105263157895
2017-01-21|0.07023157894736841|0.1318947368421053|0.09068421052631581
2017-01-22|0.13126500000000002|0.11745000000000001|0.05450000000000001
2017-01-23|-0.05095499999999999|0.06345000000000002|0.09005
2017-01-24|0.10302|0.0879|0.0538
2017-01-25|-0.07691|0.08770000000000001|0.15694999999999998
2017-01-26|0.31283|0.23020000000000002|0.044399999999999995
2017-01-27|-0.008135|0.11134999999999999|0.1283
2017-01-28|0.043755555555555554|0.12311111111111112|0.11433333333333333
2017-01-29|0.06149999999999999|0.17078947368421052|0.12673684210526315
2017-01-30|0.11699000000000001|0.12455000000000001|0.04635
2017-01-31|0.06457647058823529|0.1778235294117647|0.12205882352941178
2017-02-01|0.07042631578947368|0.0878421052631579|0.032105263157894734
2017-02-02|0.20243529411764705|0.1389411764705882|0.024176470588235296
2017-02-03|0.03535263157894738|0.15242105263157893|0.10436842105263158
2017-02-04|0.10569473684210526|0.1214736842105263|0.05789473684210527
2017-02-05|0.12914736842105265|0.12331578947368421|0.053263157894736846
2017-02-06|0.046261111111111114|0.14322222222222222|0.08527777777777777
2017-02-07|-0.05296000000000001|0.09895000000000001|0.12405000000000002
2017-02-08|-0.03695|0.12983333333333333|0.12411111111111112
2017-02-09|-0.07044|0.07635|0.11374999999999999
2017-02-10|0.07794736842105263|0.08605263157894735|0.05231578947368421
2017-02-11|0.150095|0.0941|0.0057
2017-02-12|-0.017559999999999992|0.1421|0.12725
2017-02-13|0.18334736842105265|0.12315789473684209|0.02131578947368421
2017-02-14|0.08168421052631579|0.12847368421052635|0.08636842105263158
2017-02-15|-0.13477499999999998|0.09409999999999999|0.16405
2017-02-16|-0.049280000000000004|0.0815|0.14115
2017-02-17|-0.03191000000000001|0.060399999999999995|0.08385000000000001
2017-02-18|0.03647|0.09075|0.07935
2017-02-19|-0.045744999999999994|0.05595|0.07185
2017-02-20|0.003215789473684215|0.14126315789473684|0.13489473684210526
2017-02-21|0.01361052631578947|0.06231578947368422|0.060263157894736845
2017-02-22|-0.020831250000000013|0.0845625|0.1058125
2017-02-23|-0.10366500000000003|0.0769|0.11855000000000002
2017-02-24|-0.02620526315789475|0.11521052631578947|0.1396315789473684
2017-02-25|0.07058947368421052|0.1256842105263158|0.08210526315789474
2017-02-26|0.0356625|0.06775|0.044875
2017-02-27|0.008341176470588236|0.10470588235294119|0.09270588235294117
2017-02-28|-0.007984210526315786|0.06826315789473685|0.07705263157894737
2017-03-01|0.15084500000000003|0.11865|0.03835
2017-03-02|0.001927777777777769|0.17055555555555554|0.11988888888888888
2017-03-03|-0.06352000000000001|0.08474999999999999|0.10984999999999998
2017-03-04|-0.13652|0.0662|0.1345
2017-03-05|0.012021052631578936|0.12063157894736841|0.10678947368421055
2017-03-06|0.06728235294117646|0.14358823529411766|0.08123529411764706
2017-03-07|-0.1123888888888889|0.03788888888888889|0.08594444444444443
2017-03-08|-0.04183333333333334|0.14627777777777776|0.14777777777777776
2017-03-09|0.08654999999999999|0.12072222222222223|0.08116666666666666
2017-03-10|-0.02160526315789474|0.06821052631578947|0.06042105263157895
2017-03-11|0.08545263157894738|0.1395263157894737|0.1055263157894737
2017-03-12|-0.06436000000000001|0.13595|0.14525000000000002
2017-03-13|0.01628|0.08553333333333332|0.02306666666666667
2017-03-14|0.07829|0.09425|0.07505
2017-03-15|-0.2167529411764706|0.0451764705882353|0.156
2017-03-16|0.10168333333333333|0.13527777777777777|0.07711111111111112
2017-03-17|-0.04601499999999999|0.0858|0.11535
2017-03-18|0.1216625|0.12312500000000001|0.08325
2017-03-19|0.01163|0.0443|0.029599999999999998
2017-03-20|0.08793157894736843|0.0838421052631579|0.05205263157894737
2017-03-21|-0.11633|0.026174999999999997|0.07805000000000001
2017-03-22|-0.11223529411764706|0.052647058823529415|0.11835294117647059
2017-03-23|0.10626315789473685|0.17500000000000002|0.08521052631578947
2017-03-24|-0.11734210526315791|0.05431578947368421|0.1296842105263158
2017-03-25|-0.01680000000000001|0.09340000000000001|0.10405
2017-03-26|-0.11187894736842106|0.07031578947368422|0.11457894736842106
2017-03-27|-0.01962631578947368|0.08578947368421053|0.09673684210526315
2017-03-28|-0.019478947368421054|0.06294736842105263|0.06242105263157895
